,Unnamed: 0,session_id,cluster_id,mean_firing_rate,shank_id,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,sd_ratio,unit_location_x,unit_location_y,unit_location_z,border_score,delta_x_um,X_CCF,Y_CCF,Z_CCF,X_SC,Y_SC,Z_SC,cluster_annotation_derived_from_SHARP-Track,cluster_annotation_derived_from_brain_render
41,41,,183.0,3.659509820391957,1,5512,1.2822398291885335,0.676056338028169,7.073596754863654,0.0471628752291696,1,0.0734411112549343,1,0.105,0.000449904181729,-47.385,,,0.0999637155297532,0.0014513788098693,0.0,7.219999999999982,1.3319369721212837,251.18550024558252,1770.628477596462,16.565836431473013,,19.61325198621242,2589.509907024792,3592.024339626791,10107.904247042487,-3110.490092975208,3349.5406637539436,4415.153155528609,root,root
42,42,,185.0,0.7996336829005617,1,7301,1.6984094689596303,1.0,4.264854442431865,0.5376306134124019,20,0.4043127801395118,8,,0.0004083015627148,-28.08,,,0.1008081084782906,0.0016436104643199,0.0001369675386933,7.019999999999982,1.4233031252131834,274.31674873423333,1810.0636372917752,17.74383992636816,,-3.5179965024383932,2568.2942304758076,3550.307725425219,10108.65232557063,-3131.7057695241924,3310.3966169925225,4419.535621441594,root,root
43,43,,187.0,4.149607884105204,1,4993,1.1615064345316306,0.352112676056338,9.764703561954423,0.0,0,0.0,0,0.09,0.0003603982914521,-66.494995,,,0.1506108551972761,0.0018025235329461,0.0002002803925495,6.8,1.389993097405296,266.6115082838899,1814.2652424722376,1.000000000000015,,4.187243947905017,2576.203564862816,3545.8630434790844,10108.732029333554,-3123.796435137184,3306.2260283369224,4420.002549726542,root,root
44,44,,189.0,4.468296438268487,1,5371,1.2494394271719182,0.2957746478873239,7.652238889025936,0.2483581355346641,5,0.4950984319731145,5,,0.0007266263442703,-49.14,,,0.1191584434928318,0.0013032954757028,0.0,8.4,1.4025035426387458,265.81412559345586,1807.8183884359933,1.000000000004334,,4.98462663833908,2576.687790137727,3552.6828693583698,10108.60973356714,-3123.312209862273,3312.625291274072,4419.286104851509,root,root
45,45,,199.0,5.283739736127541,1,32400,7.537113654881801,1.0,3.1785881257098616,0.5951345452928922,436,0.7269826336663392,226,,9.4984465593823e-05,-21.449999,0.4079669415950775,0.3465952403843402,0.0631481481481481,0.0006172839506172,0.0,18.2,1.2365564853268922,274.44972724057453,1863.642226793179,17.049450833543847,,-3.6509750087795965,2570.7638442604266,3493.629437193002,10109.668702648443,-3129.2361557395734,3257.2135481509576,4425.489859841283,root,ENTm1
46,46,,204.0,20.872852170198325,1,100248,23.320387952919468,1.0,4.883360146144942,0.388965984367812,2728,0.5498036370854124,1864,,1.871349549363185e-05,-34.32,0.3135861158370971,0.2227521799504756,0.0917025776075333,0.0008877982603144,0.0,30.82,1.4551576250442633,228.3910371462588,1898.497598075005,24.171562963873892,,42.407715085536125,2618.515642020338,3456.7575673222846,10110.329903339598,-3081.484357979662,3222.615481504744,4429.363369615485,root,root
47,47,,206.0,5.126475671540438,1,7111,1.6542103456748298,0.5774647887323944,8.360639183443515,0.0,0,0.0,0,0.045,3.667189483577964e-05,-57.135,,,0.1635494304598509,0.0016875263675994,0.0,11.0,1.331221518168198,266.43204956346017,1889.0398384642212,5.959287153706729,,4.366702668334767,2580.015216757785,3466.762489628741,10110.150491186996,-3119.984783242215,3232.003423314114,4428.312320008289,root,ENTm1
48,48,,213.0,17.17506643990686,1,21807,5.0728962182718345,0.8309859154929577,1.624441804763367,0.1416200365263943,47,0.0849657833676533,18,0.095,0.0001569089154237,-9.945,,,0.166093456229651,0.0027055532627138,9.171366992250196e-05,28.239999999999963,1.4679292937495243,286.75054937838246,1937.4635913051827,61.07048546891157,,-15.951797146587523,2562.048911859079,3415.5372624186493,10111.069081856647,-3137.951088140921,3183.9371377908583,4433.693696623572,root,ENTm1
49,49,,214.0,2.477117038496329,1,3080,0.7164910511430848,0.647887323943662,6.970344295610717,0.1510487926575588,1,0.2605044814014602,1,,0.0009788697977623,-49.335,,,0.1451298701298701,0.0016233766233766,0.0,4.019999999999982,1.5080001063573627,269.9813900866899,1938.7740033347288,11.92846576062169,,0.8173621451050508,2578.8817247160823,3414.1510387161447,10111.093940158476,-3121.1182752839177,3182.6363993088135,4433.839323929149,root,ENTm1
50,50,,217.0,3.8550497948785662,1,4794,1.1152136685649183,0.6901408450704225,6.469591037967658,0.0623480150958178,1,0.0983592984383709,1,0.135,0.0008070997049202,-43.875,,,0.1249478514810179,0.0016687526074259,0.0002085940759282,6.2,1.4289045872605164,271.85940455812016,1958.3092262030411,10.138463201311785,,-1.0606523263252257,2577.95263818233,3393.485638549502,10111.464520140482,-3122.04736181767,3163.2453867362715,4436.010291385206,ENTm1,ENTm1
