device_contact_id,x,y,mouse
s0e98,0.0,735.0,20
s0e99,32.0,735.0,20
s0e100,0.0,750.0,20
s0e101,32.0,750.0,20
s0e102,0.0,765.0,20
s0e103,32.0,765.0,20
s0e104,0.0,780.0,20
s0e105,32.0,780.0,20
s0e106,0.0,795.0,20
s0e107,32.0,795.0,20
s0e108,0.0,810.0,20
s0e109,32.0,810.0,20
s0e110,0.0,825.0,20
s0e111,32.0,825.0,20
s0e112,0.0,840.0,20
s0e113,32.0,840.0,20
s0e114,0.0,855.0,20
s0e115,32.0,855.0,20
s0e116,0.0,870.0,20
s0e117,32.0,870.0,20
s0e118,0.0,885.0,20
s0e119,32.0,885.0,20
s0e120,0.0,900.0,20
s0e121,32.0,900.0,20
s0e122,0.0,915.0,20
s0e123,32.0,915.0,20
s0e124,0.0,930.0,20
s0e125,32.0,930.0,20
s0e126,0.0,945.0,20
s0e127,32.0,945.0,20
s0e128,0.0,960.0,20
s0e129,32.0,960.0,20
s0e130,0.0,975.0,20
s0e131,32.0,975.0,20
s0e132,0.0,990.0,20
s0e133,32.0,990.0,20
s0e134,0.0,1005.0,20
s0e135,32.0,1005.0,20
s0e136,0.0,1020.0,20
s0e137,32.0,1020.0,20
s0e138,0.0,1035.0,20
s0e139,32.0,1035.0,20
s0e140,0.0,1050.0,20
s0e141,32.0,1050.0,20
s0e142,0.0,1065.0,20
s0e143,32.0,1065.0,20
s0e192,0.0,1440.0,20
s0e193,32.0,1440.0,20
s0e194,0.0,1455.0,20
s0e195,32.0,1455.0,20
s0e196,0.0,1470.0,20
s0e197,32.0,1470.0,20
s0e198,0.0,1485.0,20
s0e199,32.0,1485.0,20
s0e200,0.0,1500.0,20
s0e201,32.0,1500.0,20
s0e202,0.0,1515.0,20
s0e203,32.0,1515.0,20
s0e204,0.0,1530.0,20
s0e205,32.0,1530.0,20
s0e206,0.0,1545.0,20
s0e207,32.0,1545.0,20
s0e208,0.0,1560.0,20
s0e209,32.0,1560.0,20
s0e210,0.0,1575.0,20
s0e211,32.0,1575.0,20
s0e212,0.0,1590.0,20
s0e213,32.0,1590.0,20
s0e214,0.0,1605.0,20
s0e215,32.0,1605.0,20
s0e216,0.0,1620.0,20
s0e217,32.0,1620.0,20
s0e218,0.0,1635.0,20
s0e219,32.0,1635.0,20
s0e220,0.0,1650.0,20
s0e221,32.0,1650.0,20
s0e222,0.0,1665.0,20
s0e223,32.0,1665.0,20
s0e224,0.0,1680.0,20
s0e225,32.0,1680.0,20
s0e226,0.0,1695.0,20
s0e227,32.0,1695.0,20
s0e228,0.0,1710.0,20
s0e229,32.0,1710.0,20
s0e230,0.0,1725.0,20
s0e231,32.0,1725.0,20
s0e232,0.0,1740.0,20
s0e233,32.0,1740.0,20
s0e234,0.0,1755.0,20
s0e235,32.0,1755.0,20
s0e236,0.0,1770.0,20
s0e237,32.0,1770.0,20
s0e238,0.0,1785.0,20
s0e239,32.0,1785.0,20
s0e144,0.0,1080.0,20
s0e145,32.0,1080.0,20
s0e146,0.0,1095.0,20
s0e147,32.0,1095.0,20
s0e148,0.0,1110.0,20
s0e149,32.0,1110.0,20
s0e150,0.0,1125.0,20
s0e151,32.0,1125.0,20
s0e152,0.0,1140.0,20
s0e153,32.0,1140.0,20
s0e154,0.0,1155.0,20
s0e155,32.0,1155.0,20
s0e156,0.0,1170.0,20
s0e157,32.0,1170.0,20
s0e158,0.0,1185.0,20
s0e159,32.0,1185.0,20
s0e160,0.0,1200.0,20
s0e161,32.0,1200.0,20
s0e162,0.0,1215.0,20
s0e163,32.0,1215.0,20
s0e164,0.0,1230.0,20
s0e165,32.0,1230.0,20
s0e166,0.0,1245.0,20
s0e167,32.0,1245.0,20
s0e168,0.0,1260.0,20
s0e169,32.0,1260.0,20
s0e170,0.0,1275.0,20
s0e171,32.0,1275.0,20
s0e172,0.0,1290.0,20
s0e173,32.0,1290.0,20
s0e174,0.0,1305.0,20
s0e175,32.0,1305.0,20
s0e176,0.0,1320.0,20
s0e177,32.0,1320.0,20
s0e178,0.0,1335.0,20
