,session_id,cluster_id,mean_firing_rate,shank_id,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,sd_ratio,unit_location_x,unit_location_y,unit_location_z,border_score
353,,276.0,14.630726527160656,0,32855,9.529699999165612,1.0,2.462027753281032,0.1724697998225533,162,0.1634745712762335,94,0.145,8.102065445705229e-05,-13.26,0.4747979044914245,0.5205709278583522,0.0803835032719525,0.0013392177750722,9.131030284583775e-05,19.92,1.221721974611912,513.1536451316994,1919.5244584035665,27.661022362214702,0.23773512586847045
354,,277.0,8.579598036704748,0,26211,7.602586111037282,1.0,2.3099872330577726,0.1973857582256178,118,0.1609997838727493,59,0.145,0.0001491402850663,-11.8949995,0.5304020643234253,0.5160709023475644,0.0744343977719278,0.0014497729960703,7.630384189843959e-05,13.4,1.1851442377700852,493.0825603213552,1925.5436621037247,26.669064502082133,0.1788520801241589
355,,280.0,16.720183759591826,0,57070,16.553339794624307,1.0,3.001611138085107,0.3355565801876043,951,0.3915841670117079,595,0.3,1.922169881155241e-05,-14.82,0.4772801101207733,0.5014670491218567,0.0716138076046959,0.0008235500262835,0.0001577010688628,20.12,1.43345740937434,531.508091028022,1928.4421199088235,15.015954036072841,0.2764188006073772
356,,281.0,3.3129589042735406,0,8438,2.447469444314699,1.0,2.459207434841549,0.3550950567313665,22,0.4768659807082064,15,,0.0014603185052408,-12.87,0.5409177541732788,0.6018066972494125,0.0853282768428537,0.0035553448684522,0.0010666034605356,4.800000000000001,1.333727932412622,492.49837655912853,1971.784911112089,32.21336839102787,0.2559023497205279
357,,282.0,8.658046972507218,0,20629,5.983508789614593,1.0,2.5357434625344504,0.2160402260744297,80,0.1877582601634085,42,0.18,0.0001689140990237,-13.455,0.5130969285964966,0.6455447345972061,0.0679625769547724,0.0024237723593,0.000339328130302,9.520000000000003,1.319726770749607,528.1106127583809,1977.7051038151724,21.554341129291767,0.24549649755166447
358,,283.0,9.101585186467336,0,21678,6.287774663884102,1.0,4.104682769973413,0.083146022973173,34,0.1004149615436651,26,0.095,0.0003937687997671,-23.4,0.3050829172134399,0.2755308985710143,0.0715933204170126,0.0009225943352707,0.0,11.2,1.223547732973133,533.9892225823235,1970.9989653809714,9.841816215607777,0.033107011806500344
359,,284.0,8.903954213580345,0,23170,6.720534134246455,1.0,2.3809312942428704,0.2611612573958064,122,0.1917846197732459,54,0.18,8.018176620710283e-05,-12.675,0.6710494160652161,0.9426989108324048,0.0992662926197669,0.0074665515753129,0.0006473888649115,9.52,1.6148905682794772,532.7895257549394,1952.4356121646426,49.66156376422221,0.2216935222344767
360,,285.0,13.59429539453956,0,33438,9.698801052262969,1.0,2.288639380745174,0.2364004162722658,230,0.1870936129884695,110,0.17,0.0001273652916347,-11.8949995,0.5412079095840454,0.630491453409195,0.0732998385070877,0.0019738022609007,0.0002093426640349,15.6,1.2841300009485652,512.3794865363809,2000.0760492794118,19.286316517613518,0.28408500083471244
361,,287.0,19.241110138936584,0,50696,14.704540287861816,1.0,3.0893259847297365,0.2459327064030223,550,0.2200664956188398,292,0.17,5.810905244052149e-05,-17.355,0.3905875384807586,0.395659440755844,0.0669678081110935,0.0009270948398295,5.9176266372100366e-05,17.2,1.1764323224149846,528.288209494795,1996.4468374046517,12.461175173046623,0.28389097629989973
362,,288.0,8.146620256410346,0,25757,7.470901929036941,1.0,2.2610750291994703,0.3031436535821118,175,0.2598088802205249,87,0.23,0.0006018687587841,-11.7,0.5695205330848694,0.8148610591888427,0.0923632410606825,0.0053965912179213,0.0009706099312808,14.8,1.4103096313357473,499.9614386192151,2019.6566482476587,28.72609695383682,0.2848755329599779
